"protein_group","abundances_Main_1","abundances_Main_2","number_of_peptides_Main_1","number_of_peptides_Main_2"
"sp|O76070|SYUG_HUMAN",-11.1760705412,-11.1126569221,2,2
"sp|P00441|SODC_HUMAN",-13.4920778272,-13.6253328342,2,2
"sp|P00915|CAH1_HUMAN",-12.2261268912,-11.783396562,3,4
"sp|P01008|ANT3_HUMAN",-13.0287377691,-13.0665472625,6,4
"sp|P01112-2|RASH_HUMAN",NA,NA,2,2
"sp|P01344|IGF2_HUMAN",NA,NA,NA,2
"sp|P01375|TNFA_HUMAN",-13.0333806957,-13.7494358181,3,3
"sp|P02042|HBD_HUMAN",NA,NA,2,NA
"sp|P02144|MYG_HUMAN",-11.6088560963,-11.5654794095,2,3
"sp|P02753|RET4_HUMAN",NA,NA,2,NA
"sp|P02768-2|ALBU_HUMAN",NA,NA,12,11
"sp|P02768|ALBU_HUMAN",-14.1586097667,-14.2187299231,15,14
"sp|P02787|TRFE_HUMAN",-14.3449704233,-15.3386473527,7,5
"sp|P02788|TRFL_HUMAN",-13.0447072168,-13.734719377,7,5
"sp|P04040|CATA_HUMAN",-14.0457313988,-13.0789884661,4,3
"sp|P05413|FABPH_HUMAN",-12.1386365095,-12.1194389895,2,2
"sp|P06396-2|GELS_HUMAN",NA,NA,4,6
"sp|P06396|GELS_HUMAN",-14.507641489,-14.5624520615,5,7
"sp|P08758|ANXA5_HUMAN",-12.8223287422,-12.7913884463,4,5
"sp|P10636-2|TAU_HUMAN",NA,NA,6,7
"sp|P10636-5|TAU_HUMAN",NA,NA,7,8
"sp|P10636-6|TAU_HUMAN",NA,NA,8,8
"sp|P10636-8|TAU_HUMAN",NA,NA,9,9
"sp|P12081|SYHC_HUMAN",-13.2816150888,-13.2759519814,7,6
"sp|P15559|NQO1_HUMAN",NA,-13.1775979608,2,2
"sp|P16083|NQO2_HUMAN",-12.759749884,-12.7597553985,3,3
"sp|P41159|LEP_HUMAN",-12.408753746,-12.4332067025,2,3
"sp|P49590|SYHM_HUMAN",NA,NA,3,2
"sp|P55957-2|BID_HUMAN",-12.8993834065,-13.8031764948,2,2
"sp|P60709|ACTB_HUMAN",-14.7725014476,NA,2,2
"sp|P62937|PPIA_HUMAN",-11.4372098272,-11.885173808,3,4
"sp|P68871|HBB_HUMAN",-13.3171276947,-12.0883867229,4,3
"sp|P99999|CYC_HUMAN",-11.8711836965,-11.8766358014,3,2
"sp|Q06830|PRDX1_HUMAN",-12.6271095904,-12.4681740401,2,3
